sort,logo,name,percentage,price,rating,release,ends,started
,https://steamdb.info/static/img/applogo.svg,"Portal 2
all-time low: 0,81€ at -90%",-59%,"8,04€",97.71%,Apr 2011,—,
,https://steamdb.info/static/img/applogo.svg,"Terraria
current 2-year low",-50%,"4,87€",96.93%,May 2011,,
,https://steamdb.info/static/img/applogo.svg,"Euro Truck Simulator 2
all-time low: 2,49€ at -94%",-75%,"4,99€",96.61%,Oct 2012,,
,https://steamdb.info/static/img/applogo.svg,"Slay the Spire
all-time low: 5,74€ at -75%",-66%,"7,81€",96.55%,Jan 2019,,
,https://steamdb.info/static/img/applogo.svg,"Totally Accurate Battle Simulator
all-time low: 4,02€ at -76%",-66%,"6,45€",96.45%,Apr 2021,,
,https://steamdb.info/static/img/applogo.svg,"South Park™: The Stick of Truth™
current 2-year low",-75%,"7,49€",95.90%,Mar 2014,,
,https://steamdb.info/static/img/applogo.svg,"Subnautica
all-time low: 9,89€ at -67%",-50%,"14,99€",95.75%,Jan 2018,,
,https://steamdb.info/static/img/applogo.svg,"POSTAL 2
Week Long Deal
current 2-year low",-90%,"0,97€",95.17%,Apr 2003,,
,https://steamdb.info/static/img/applogo.svg,"Gunpoint
all-time low: 1,40€ at -80%",-60%,"2,80€",94.77%,Jun 2013,,
,https://steamdb.info/static/img/applogo.svg,"The Forest
all-time low: 3,86€ at -77%",-75%,"4,19€",94.65%,Apr 2018,,
,https://steamdb.info/static/img/applogo.svg,"Marco & The Galaxy Dragon
all-time low: 5,03€ at -70%",-60%,"7,80€",94.14%,Feb 2020,,
,https://steamdb.info/static/img/applogo.svg,"Opus Magnum
2-year low: 8,39€",-50%,"9,75€",94.00%,Dec 2017,,
,https://steamdb.info/static/img/applogo.svg,"Kenshi
all-time low: 8,90€ at -67%",-60%,"10,79€",93.79%,Dec 2018,,
,https://steamdb.info/static/img/applogo.svg,"Spiritfarer®: Farewell Edition
Week Long Deal
all-time low: 5,79€ at -80%",-75%,"7,24€",93.64%,Aug 2020,,
,https://steamdb.info/static/img/applogo.svg,"Mad Father
current 2-year low",-50%,"4,09€",93.54%,Sep 2016,,
,https://steamdb.info/static/img/applogo.svg,"Warhammer® 40,000: Dawn of War® - Dark Crusade
all-time low: 1,94€ at -85%",-75%,"3,24€",93.48%,Oct 2006,,
,https://steamdb.info/static/img/applogo.svg,"The Talos Principle
all-time low: 2,89€ at -90%",-85%,"4,34€",93.46%,Dec 2014,,
,https://steamdb.info/static/img/applogo.svg,"PlateUp!
all-time low: 6,63€ at -66%",-50%,"9,75€",93.42%,Aug 2022,,
,https://steamdb.info/static/img/applogo.svg,"Untitled Goose Game
all-time low: 8,39€ at -50%",-50%,"9,49€",93.38%,Sep 2020,,
,https://steamdb.info/static/img/applogo.svg,"Retrowave
all-time low: 0,79€ at -50%",-50%,"1,49€",93.10%,May 2022,,
,https://steamdb.info/static/img/applogo.svg,"GUILTY GEAR XX ACCENT CORE PLUS R
all-time low: 2,99€ at -80%",-77%,"3,44€",93.09%,May 2015,,
,https://steamdb.info/static/img/applogo.svg,"ROUNDS
all-time low: 1,99€ at -60%",-50%,"2,74€",93.03%,Apr 2021,,
,https://steamdb.info/static/img/applogo.svg,"Warhammer® 40,000: Dawn of War® - Soulstorm
all-time low: 1,94€ at -85%",-75%,"3,24€",92.98%,Mar 2008,,
,https://steamdb.info/static/img/applogo.svg,"Machinarium
2-year low: 2,99€",-80%,"3,99€",92.94%,Oct 2009,,
,https://steamdb.info/static/img/applogo.svg,"pureya
Week Long Deal
all-time low: 2,39€ at -60%",-50%,"2,99€",92.84%,Mar 2021,,
